TITLE = vY-vT
Variables = "x [m]", "y [m]","Residuals [K]"
ZONE, i= 24, j= 24, f=point, STRANDID=  1,SOLUTIONTIME=  2.000000E-02
  6.750000E-02   9.750000E-02  -3.079549E+02
  6.750000E-02   1.025000E-01  -4.508914E+03
  6.750000E-02   1.075000E-01   3.133234E+03
  6.750000E-02   1.125000E-01  -4.193944E+03
  6.750000E-02   1.175000E-01   1.556083E+03
  7.250000E-02   2.500000E-03  -3.016533E+02
  7.250000E-02   7.500000E-03  -4.128184E+03
  7.250000E-02   1.250000E-02   3.531173E+03
  7.250000E-02   1.750000E-02   8.967887E+02
  7.250000E-02   2.250000E-02   2.781289E+02
  7.250000E-02   2.750000E-02  -2.091662E+03
  7.250000E-02   3.250000E-02   4.395649E+03
  7.250000E-02   3.750000E-02  -2.938379E+03
  7.250000E-02   4.250000E-02   2.904012E+03
  7.250000E-02   4.750000E-02   4.083209E+04
  7.250000E-02   5.250000E-02   3.396129E+04
  7.250000E-02   5.750000E-02   3.640030E+04
  7.250000E-02   6.250000E-02   3.817417E+04
  7.250000E-02   6.750000E-02   3.833427E+04
  7.250000E-02   7.250000E-02   3.866019E+04
  7.250000E-02   7.750000E-02   4.380137E+04
  7.250000E-02   8.250000E-02  -2.346631E+03
  7.250000E-02   8.750000E-02   7.814831E+02
  7.250000E-02   9.250000E-02  -1.034718E+03
  7.250000E-02   9.750000E-02   2.490983E+03
  7.250000E-02   1.025000E-01   3.904762E+03
  7.250000E-02   1.075000E-01  -1.459550E+03
  7.250000E-02   1.125000E-01   2.184434E+03
  7.250000E-02   1.175000E-01   4.350533E+03
  7.750000E-02   2.500000E-03  -1.886455E+03
  7.750000E-02   7.500000E-03   7.432035E+02
  7.750000E-02   1.250000E-02  -1.820652E+03
  7.750000E-02   1.750000E-02   2.256909E+03
  7.750000E-02   2.250000E-02  -1.803485E+03
  7.750000E-02   2.750000E-02   1.311887E+03
  7.750000E-02   3.250000E-02   2.182278E+03
  7.750000E-02   3.750000E-02   2.213244E+03
  7.750000E-02   4.250000E-02   3.855081E+04
  7.750000E-02   4.750000E-02  -1.005964E+07
  7.750000E-02   5.250000E-02  -1.001344E+07
  7.750000E-02   5.750000E-02  -1.001432E+07
  7.750000E-02   6.250000E-02  -1.001843E+07
  7.750000E-02   6.750000E-02  -1.001666E+07
  7.750000E-02   7.250000E-02  -1.001229E+07
  7.750000E-02   7.750000E-02  -1.006023E+07
  7.750000E-02   8.250000E-02   4.127564E+04
  7.750000E-02   8.750000E-02  -7.049662E+02
  7.750000E-02   9.250000E-02   1.732259E+03
  7.750000E-02   9.750000E-02   2.234667E+03
  7.750000E-02   1.025000E-01  -1.019075E+03
  7.750000E-02   1.075000E-01  -2.490324E+02
  7.750000E-02   1.125000E-01  -8.466541E+02
  7.750000E-02   1.175000E-01  -1.837535E+03
  8.250000E-02   2.500000E-03   2.999834E+02
  8.250000E-02   7.500000E-03   3.000022E+02
  8.250000E-02   1.250000E-02   2.999886E+02
  8.250000E-02   1.750000E-02   3.000023E+02
  8.250000E-02   2.250000E-02   2.999970E+02
  8.250000E-02   2.750000E-02   2.999772E+02
  8.250000E-02   3.250000E-02   3.000104E+02
  8.250000E-02   3.750000E-02   2.999949E+02
  8.250000E-02   4.250000E-02   3.000016E+02
  8.250000E-02   4.750000E-02   2.999933E+02
  8.250000E-02   5.250000E-02   3.000026E+02
  8.250000E-02   5.750000E-02   3.000019E+02
  8.250000E-02   6.250000E-02   3.000113E+02
  8.250000E-02   6.750000E-02   2.999889E+02
  8.250000E-02   7.250000E-02   2.999986E+02
  8.250000E-02   7.750000E-02   2.999991E+02
  8.250000E-02   8.250000E-02   3.000066E+02
  8.250000E-02   8.750000E-02   2.999967E+02
  8.250000E-02   9.250000E-02   3.000198E+02
  8.250000E-02   9.750000E-02   3.000036E+02
  8.250000E-02   1.025000E-01   3.000092E+02
  8.250000E-02   1.075000E-01   2.999941E+02
  8.250000E-02   1.125000E-01   3.000069E+02
  8.250000E-02   1.175000E-01   2.999931E+02
  8.750000E-02   2.500000E-03   3.000059E+02
  8.750000E-02   7.500000E-03   2.999859E+02
  8.750000E-02   1.250000E-02   2.999938E+02
  8.750000E-02   1.750000E-02   2.999866E+02
  8.750000E-02   2.250000E-02   3.000112E+02
  8.750000E-02   2.750000E-02   2.999929E+02
  8.750000E-02   3.250000E-02   2.999954E+02
  8.750000E-02   3.750000E-02   2.999942E+02
  8.750000E-02   4.250000E-02   3.000106E+02
  8.750000E-02   4.750000E-02   3.000150E+02
